gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,ContractType,InternetType,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,ChargesPerMonth,TenureBin,Contract_x_Internet,SeniorPartner
1,0,0,0,0.15730764736194555,0,0,-0.5567803978159661,-0.23513695118765432,-0.7715595228225218,-1.1945648848093802,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,-0.40442072821608965,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
1,0,1,1,-0.6602443616987137,1,0,0.313815942134109,-0.4788886019630996,-0.7715595228225218,0.19313324484942065,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.4081171974198647,-0.3969359554844963,-0.5058821715829188,-0.2852099462931705
1,0,1,1,-0.7419995626047797,0,0,-0.847539407104312,-0.7275587099710616,1.670990970641127,-1.1945648848093802,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,-0.5721723039554318,-0.3969359554844963,-0.5058821715829188,-0.2852099462931705
0,0,1,0,-0.21059075671535113,1,1,0.26003392885534005,-0.14472152791783138,1.670990970641127,-1.1945648848093802,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,0.3623855052863728,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
1,0,1,1,-1.2325307680411752,1,0,-0.7130843739073891,-0.9694050124492255,-0.7715595228225218,-1.1945648848093802,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.2264719726434865,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
1,0,0,1,1.4245132614059675,1,1,0.46171647865072435,1.3132687133319871,1.670990970641127,-1.1945648848093802,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.5917110738473217,1.233350787253018,-0.5058821715829188,-0.2852099462931705
0,0,0,0,-1.2325307680411752,1,0,-1.5450248918133493,-0.9803718427649722,-0.7715595228225218,1.5808313745082214,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,-1.6335004020876713,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
0,0,1,0,0.36169564962711037,1,0,-0.30803858640165893,0.06504402648517854,-0.7715595228225218,-1.1945648848093802,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,-0.050551898556229234,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
0,0,1,0,1.3836356609529346,1,1,-0.2004745598441208,0.6982843175653255,1.670990970641127,-1.1945648848093802,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,-0.061301700881042434,1.233350787253018,-0.5058821715829188,-0.2852099462931705
0,0,0,0,1.1792476586877696,1,0,0.4970109248649165,1.1586031730608197,0.44971572390930264,-1.1945648848093802,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,0.6544051192186281,1.233350787253018,-0.5058821715829188,-0.2852099462931705
0,1,0,0,-1.0690203662290434,1,0,-0.19711318401419767,-0.8615977471635216,-0.7715595228225218,-1.1945648848093802,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.3811684868482905,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
0,0,1,1,-1.0690203662290434,1,1,-0.5500576461561202,-0.8861014124750688,-0.7715595228225218,-1.1945648848093802,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.684315586488202,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
0,0,0,0,-1.1916531675881423,1,0,-0.4979563207923124,-0.9346213284174633,-0.7715595228225218,-1.1945648848093802,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.6100363242798693,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
1,0,1,1,-0.04708035490321928,1,0,0.061712754889878665,-0.10284817580316208,-0.7715595228225218,-1.1945648848093802,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,0.163101069604315,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
1,0,1,0,0.1981852478149785,1,1,0.9961752356084929,0.5502874963346425,-0.7715595228225218,0.19313324484942065,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,1.1292703451022426,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
0,0,1,1,0.9748596564226049,1,1,0.11045270442376329,0.7135271039435754,1.670990970641127,0.19313324484942065,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.2977995715030482,1.233350787253018,1.1712962108933214,-0.2852099462931705
0,0,0,0,-0.006202754450186318,1,1,0.6381887097216855,0.16886335347424758,-0.7715595228225218,0.19313324484942065,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.72705891877474,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
0,1,1,1,-0.1288355558092852,0,1,-1.0038433831957347,-0.5577168489599215,-0.7715595228225218,-1.1945648848093802,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,-0.8548299228542192,0.41820741588426086,-0.5058821715829188,3.506189082803194
1,0,0,0,-0.6193667612456808,1,0,-1.5735965863676953,-0.8443388364241948,1.670990970641127,1.5808313745082214,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-1.3268384599990046,-0.3969359554844963,2.8484745933695614,-0.2852099462931705
1,0,0,0,-1.0281427657760105,1,0,-1.5332600764086184,-0.9313202017163598,-0.7715595228225218,1.5808313745082214,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-1.3459374597271045,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
1,1,1,0,-0.16971315626231817,1,1,0.6768445317658011,-0.00540955008870947,0.44971572390930264,0.19313324484942065,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,0.6487955158549163,0.41820741588426086,0.33270701965520133,3.506189082803194
1,0,0,0,1.0974924577817038,1,1,-1.3601492211675803,-0.33585454839045153,1.670990970641127,1.5808313745082214,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,-1.1372058507263492,1.233350787253018,2.8484745933695614,-0.2852099462931705
1,0,1,1,1.6697788641241653,1,1,1.3155059394511845,2.437224811813092,1.670990970641127,0.19313324484942065,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,1.5249320749924598,1.233350787253018,1.1712962108933214,-0.2852099462931705
0,0,0,0,-0.1288355558092852,0,1,-1.0088854469406192,-0.5631448760858971,-0.7715595228225218,-1.1945648848093802,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,-0.8687236135841149,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
1,0,1,1,0.36169564962711037,1,1,0.6482728372114547,0.49775748688285376,0.44971572390930264,0.19313324484942065,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0.732860001465882,0.41820741588426086,0.33270701965520133,-0.2852099462931705
1,0,0,0,-1.2325307680411752,1,0,-1.5214952610038877,-0.9800616697863451,-0.7715595228225218,1.5808313745082214,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,-1.6219884869114722,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
0,0,0,0,-1.0690203662290434,1,1,0.47852335780033967,-0.8063648017551244,-0.7715595228225218,0.19313324484942065,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.30214590682467424,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
0,0,0,0,-1.2325307680411752,1,1,0.1154947681686481,-0.9584824925589972,-0.7715595228225218,0.19313324484942065,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.8210881025101873,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
0,0,0,1,-0.7828771630578126,1,1,1.3289514427708766,-0.4238993638950524,-0.7715595228225218,0.19313324484942065,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,1.2683877542511495,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
1,0,0,0,-1.0690203662290434,1,1,1.019704866417954,-0.7882418377181934,-0.7715595228225218,0.19313324484942065,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,0.526354159542077,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
1,0,1,0,1.6289012636711322,1,1,0.6835672834256469,1.6898187093853834,1.670990970641127,-1.1945648848093802,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,0.8027771703800974,1.233350787253018,-0.5058821715829188,-0.2852099462931705
1,0,0,0,-1.1507755671351094,1,1,0.3760013949876861,-0.8879402951340727,-0.7715595228225218,0.19313324484942065,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.08103641261166938,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
0,0,1,0,-0.04708035490321928,1,0,-1.5500669555582338,-0.6985353812566613,-0.7715595228225218,1.5808313745082214,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,-1.2632623559370078,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
0,0,1,0,-0.2514683571683841,1,1,-1.5315793884936568,-0.7640926558107916,0.44971572390930264,1.5808313745082214,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,-1.3166064733362548,0.41820741588426086,1.1712962108933214,-0.2852099462931705
1,0,1,1,0.8522268550635059,1,0,-1.3853595398920033,-0.3993513881579871,1.670990970641127,1.5808313745082214,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,-1.1330889302640488,1.233350787253018,2.8484745933695614,-0.2852099462931705
0,1,0,0,0.6069612523453082,1,1,1.486936106777261,1.1708993161421115,0.44971572390930264,0.19313324484942065,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,1.452322696359151,0.41820741588426086,0.33270701965520133,-0.2852099462931705
1,0,0,0,-0.9055099644169116,1,1,0.15919265395764792,-0.7242132728444398,-0.7715595228225218,0.19313324484942065,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.00744087831397556,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
0,0,1,0,-0.4967339598865819,1,1,0.7087776021500699,-0.2959530102113407,-0.7715595228225218,0.19313324484942065,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.613625440306406,-0.3969359554844963,-0.5058821715829188,-0.2852099462931705
0,0,0,0,-0.7828771630578126,1,1,-0.5500576461561202,-0.7181205893356917,-0.7715595228225218,-1.1945648848093802,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,-0.4115928340996742,-1.2120793268532535,-0.5058821715829188,-0.2852099462931705
1,1,1,0,0.5660836518922752,1,1,1.107100637995954,1.0162559310837032,0.44971572390930264,0.19313324484942065,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,1.2769405627074275,0.41820741588426086,0.33270701965520133,3.506189082803194
0,0,1,1,0.1981852478149785,1,1,1.302060436131492,0.6436717181141827,-0.7715595228225218,0.19313324484942065,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,1.316616763896372,0.41820741588426086,-0.5058821715829188,-0.2852099462931705
